2026-04-05T00:08:53.971752,cam1,0.1096,0.161,False
2026-04-05T00:08:55.658646,cam1,0.5617,0.161,True
2026-04-05T00:08:57.406061,cam1,0.0004,0.161,False
2026-04-05T01:03:33.160969,cam1,0.0005,0.161,False
2026-04-05T01:03:34.465563,cam1,0.8176,0.161,True
2026-04-05T01:03:35.776326,cam1,0.9243,0.161,True
2026-04-05T01:03:37.069531,cam1,0.0079,0.161,False
2026-04-05T01:03:38.372644,cam1,0.9734,0.161,True
2026-04-05T01:03:39.675373,cam1,0.6840,0.161,True
2026-04-05T01:03:40.967191,cam1,0.7820,0.161,True
2026-04-05T01:03:42.268536,cam1,0.7249,0.161,True
2026-04-05T01:03:43.556777,cam1,0.4701,0.161,True
2026-04-05T01:03:44.854351,cam1,0.0003,0.161,False
2026-04-05T01:03:46.151583,cam1,0.0004,0.161,False
2026-04-05T01:03:47.455269,cam1,0.0004,0.161,False
2026-04-05T01:03:48.755368,cam1,0.0004,0.161,False
2026-04-05T01:03:50.047832,cam1,0.0004,0.161,False
2026-04-05T01:03:51.341222,cam1,0.0004,0.161,False
2026-04-05T01:03:52.646264,cam1,0.0003,0.161,False
2026-04-05T01:03:53.944943,cam1,0.0005,0.161,False
2026-04-05T01:03:55.248563,cam1,0.0004,0.161,False
2026-04-05T01:03:56.560181,cam1,0.0004,0.161,False
2026-04-05T01:03:58.061705,cam1,0.0005,0.161,False
2026-04-05T01:03:59.617712,cam1,0.0004,0.161,False
2026-04-05T01:04:01.321443,cam1,0.0005,0.161,False
2026-04-05T01:04:02.865333,cam1,0.0006,0.161,False
2026-04-05T01:38:25.606848,cam1,0.0013,0.161,False
2026-04-05T01:38:26.886578,cam1,0.0011,0.161,False
2026-04-05T01:38:28.184045,cam1,0.0010,0.161,False
2026-04-05T01:38:29.478771,cam1,0.0011,0.161,False
2026-04-05T01:38:30.779392,cam1,0.0011,0.161,False
2026-04-05T01:38:32.065693,cam1,0.0010,0.161,False
2026-04-05T01:38:33.355711,cam1,0.0011,0.161,False
2026-04-05T01:38:34.661514,cam1,0.0011,0.161,False
2026-04-05T01:38:35.970493,cam1,0.0029,0.161,False
2026-04-05T01:38:37.252338,cam1,0.0012,0.161,False
2026-04-05T01:38:38.514249,cam1,0.0010,0.161,False
2026-04-05T01:38:39.807230,cam1,0.0011,0.161,False
2026-04-05T01:38:41.068601,cam1,0.0010,0.161,False
2026-04-05T01:38:42.342286,cam1,0.0011,0.161,False
2026-04-05T01:38:43.615975,cam1,0.0010,0.161,False
2026-04-05T01:38:44.897300,cam1,0.0010,0.161,False
2026-04-05T01:38:46.180210,cam1,0.0011,0.161,False
2026-04-05T01:38:47.470016,cam1,0.0011,0.161,False
2026-04-05T01:38:48.751030,cam1,0.0011,0.161,False
2026-04-05T01:38:50.019320,cam1,0.0010,0.161,False
2026-04-05T01:38:51.296199,cam1,0.0010,0.161,False
2026-04-05T01:38:52.585469,cam1,0.0010,0.161,False
2026-04-05T01:38:53.900962,cam1,0.0013,0.161,False
2026-04-05T01:38:55.181303,cam1,0.0017,0.161,False
2026-04-05T01:38:56.475968,cam1,0.0019,0.161,False
2026-04-05T01:38:57.786868,cam1,0.0014,0.161,False
2026-04-05T01:38:59.075331,cam1,0.0016,0.161,False
2026-04-05T01:39:00.372967,cam1,0.0013,0.161,False
2026-04-05T01:39:01.665995,cam1,0.0013,0.161,False
