Organization,Event Time,Confidence Score,Camera ID
Smart Guard,2026-04-05T12:54:05.372165,0.1048,cam1
Smart Guard,2026-04-05T12:54:06.702883,0.4815,cam1
Smart Guard,2026-04-05T12:54:08.371818,0.1638,cam1
Smart Guard,2026-04-05T12:54:10.031783,0.2283,cam1
Smart Guard,2026-04-05T12:54:11.675257,0.1530,cam1
Smart Guard,2026-04-05T12:56:53.474335,0.4440,cam1
Smart Guard,2026-04-05T12:56:55.151101,0.2798,cam1
Smart Guard,2026-04-05T12:56:56.771492,0.2295,cam1
